subject,studyday,time_ping,workout,sleep,mood
1,1,1.33,1,7.716347729483057,34.32083285457323
1,2,2.33,1,3.0977944012829814,30.364206119583528
1,3,3.5,1,8.392637333407599,35.3304686039572
1,4,4.83,0,7.206757858251009,35.75874666798301
1,5,5.5,1,6.084588482597192,35.33601037992918
1,6,6.5,0,5.87512362445813,34.93103566133147
1,7,7.67,0,7.472109570481114,34.21062930591386
1,9,9.67,0,9.10956475978089,40.091435269774905
1,10,10.33,1,8.097465900134907,35.63116245519691
1,11,11.33,1,6.31193124667792,32.72510419019687
1,12,12.67,1,5.953927033284632,36.29299125052025
1,13,13.83,0,5.650979722076758,37.15373073032497
1,14,14.33,0,7.848721897493756,38.77038012314682
2,2,2.83,1,5.051298174030147,41.62682345826367
2,4,4.83,1,6.195436156525171,48.86783950950052
2,5,5.5,0,6.078662245102576,44.47082861902036
2,6,6.33,1,4.004143570416799,40.33014584699649
2,7,7.83,1,6.050301926313264,46.70807114340058
2,8,8.5,1,4.889002829176352,39.8800887554916
2,11,11.5,0,5.016679376982139,38.11132500490891
2,12,12.5,0,6.787466922248571,43.51117732186736
2,14,14.83,1,4.456805413663593,39.40751785555306
3,1,1.33,1,9.573453368289021,59.89255009357661
3,2,2.67,1,6.689460946552715,57.38652092595413
3,5,5.33,0,7.3382775054801845,53.62739839570436
3,6,6.33,1,7.531081178913886,56.53517470329646
3,7,7.33,1,7.337371808247964,55.52624268403848
3,8,8.67,1,6.395732155961845,55.71692847576145
3,10,10.67,1,8.10063344068946,57.511104340246405
3,11,11.83,1,9.80266913153499,61.4896246662914
3,13,13.33,1,7.463185072960504,55.36148855832422
3,14,14.5,1,6.213547563308733,56.280102600956354
4,1,1.83,0,5.019847921866103,45.54040964689595
4,2,2.5,0,4.732304094082548,42.5277385960667
4,4,4.33,1,6.427182078839376,55.39118935739566
4,5,5.5,0,3.9239114429181243,47.72432347920495
4,6,6.33,1,4.679850229535268,55.361884374399104
4,7,7.33,1,6.2481914934356375,58.80586058611594
4,8,8.33,0,5.295104142336186,51.595131985449086
4,9,9.67,0,6.445376462568542,48.59649686252186
4,10,10.5,1,3.011254893392978,51.34605841678394
4,11,11.5,1,4.145711403368777,52.8912213344438
4,13,13.83,1,4.177561258116768,57.89015909221187
4,14,14.5,0,4.882855477527247,51.38464301508407
5,1,1.67,0,5.147702711249077,42.810737313846715
5,2,2.5,1,5.982275166951076,50.61472809213598
5,3,3.33,0,4.428141123992403,41.418594483064126
5,4,4.67,1,7.4035879004894785,46.7295408376755
5,5,5.83,0,6.153909424611841,49.30388595378077
5,8,8.83,0,6.939960762269018,50.399205648320766
5,9,9.67,0,6.523279066800792,45.08812419604265
5,11,11.33,1,7.374546357090244,42.083552183402155
5,13,13.33,0,7.15440286533016,44.89577652316964
6,1,1.5,0,2.3741348638653013,41.140328538303976
6,2,2.33,0,3.020582737791779,44.19979472441182
6,3,3.67,1,3.4415820443803318,41.27335890827288
6,4,4.83,1,2.346501420204466,40.44697073431387
6,5,5.5,1,1.995489061110725,43.03086327141784
6,6,6.5,1,5.739675262688106,49.62767647188254
6,8,8.33,1,4.439225009581787,44.935389542051595
6,9,9.67,0,4.381738120532262,48.606598951309955
6,12,12.67,0,4.191890378867329,45.25513859247036
6,13,13.5,1,3.286156583084177,42.48001837744164
6,14,14.67,1,5.184792104481839,44.65831440168476
7,1,1.33,1,8.048415123695879,53.434196506699884
7,3,3.83,1,7.590211620370145,60.07047654985721
7,4,4.5,1,8.169098803174151,56.64691096788616
7,6,6.5,1,8.995940528532813,59.80371301534984
7,8,8.83,0,5.868665205026579,47.49189998391587
7,9,9.83,0,8.519874780665946,56.04154419635116
7,10,10.33,1,8.856505548658916,61.376479923617026
7,13,13.67,0,7.497261702641349,53.58534483534257
7,14,14.83,0,7.394240019426705,50.58614273633358
8,3,3.67,0,9.284019891565544,54.29514666435366
8,4,4.5,1,7.06288176635996,55.081889278323885
8,6,6.83,1,8.954026207120968,59.73187982261699
8,7,7.5,0,8.778289068444552,57.32213827622382
8,8,8.5,0,9.155360032175816,57.12007686704002
8,10,10.83,1,8.667320918003762,55.6294081667048
8,11,11.33,1,8.660342895962694,53.97607573075503
8,12,12.5,0,8.260250585493301,53.86380265389036
8,13,13.33,0,9.318570631792118,55.27264608963956
8,14,14.67,0,7.678626017378391,50.278866466399435
9,1,1.67,1,8.02566345245555,52.62129058456592
9,2,2.5,0,5.7127447466817705,41.25644681419841
9,3,3.5,1,7.281217299524496,52.40463002347229
9,4,4.67,1,7.065145295889829,50.12884681081791
9,5,5.67,1,9.94801881045418,54.8893077826953
9,6,6.67,1,6.964166558283323,52.16187233533716
9,7,7.5,1,5.402129319245598,44.87580270737783
9,8,8.5,0,6.203217165456164,42.27128747952195
9,11,11.33,1,6.046389893562694,48.93824417289219
9,12,12.83,0,7.953719351564781,46.19507379022857
9,13,13.67,0,5.336172694392028,39.32119036313308
9,14,14.83,0,6.238551622567291,40.66440870754273
10,1,1.67,0,8.608697914199782,42.705959775571124
10,2,2.83,1,6.91546487964587,39.50571427484244
10,3,3.83,1,7.718845761859351,42.10715911402313
10,4,4.33,1,7.920485736481265,45.38701111623196
10,5,5.67,0,7.410811062109288,42.35689541796768
10,6,6.67,0,7.985414798265939,41.8004613669115
10,8,8.5,1,7.0654945079730656,43.66612713035725
10,9,9.33,1,8.702175179766742,43.918654338862595
10,10,10.5,1,9.483006785037484,45.796145440708145
10,11,11.67,1,5.975202035186904,38.15431925588
10,12,12.67,1,9.44659417132799,41.615566892114074
10,13,13.33,1,5.511759504511462,37.942191774476754
10,14,14.33,1,7.951173953573004,39.90161309220118
11,1,1.67,1,9.62204678221146,51.71384351474788
11,2,2.83,1,6.761581595187313,50.71618866272926
11,3,3.33,0,6.741992431897962,46.138695982383815
11,4,4.5,1,8.371545992531,49.841537385930586
11,5,5.67,1,5.579940413899555,46.57704231396886
11,6,6.83,0,6.379457152338333,45.76692228138867
11,9,9.5,1,6.785778478267612,51.211168050315216
11,10,10.67,0,7.375287116838312,46.971785509072085
11,11,11.67,0,5.035118814232699,48.16322004242895
11,13,13.67,0,6.620783917590239,45.96778254978282
11,14,14.33,1,8.00901336383373,50.73218172985481
12,1,1.33,1,8.655507535948091,73.41588928740019
12,2,2.67,0,8.07106927318054,61.260430000054974
12,4,4.33,1,8.682339612549939,70.67201378958309
12,7,7.5,1,7.31732923670978,67.31638878606725
12,8,8.67,0,8.280203335553024,60.88919384969319
12,10,10.33,0,6.949215177309324,61.777763337330214
12,11,11.5,0,10.272754885241255,63.57935049039903
12,12,12.33,0,8.8537883078752,63.34211732494874
12,13,13.83,0,8.705831141141775,61.757768505987315
13,1,1.83,1,3.0315617969927255,35.44537920319996
13,2,2.67,1,4.016056232123323,42.554673696193134
13,4,4.67,1,5.519748004613632,51.574566834506044
13,5,5.33,1,4.952924484930874,50.41846284169493
13,6,6.5,1,6.386786141222445,51.05279335395821
13,7,7.67,0,6.718904660660123,48.00357763010694
13,8,8.67,0,4.135333142538594,37.18808243849616
13,9,9.5,1,5.236886975648966,46.97504777246698
13,12,12.83,0,7.681950669625574,52.09531223341222
13,13,13.83,0,6.290663136049403,47.359653374013156
13,14,14.5,0,6.649720986190638,48.32850216188714
14,1,1.83,0,3.5705517569433294,39.06224131039427
14,2,2.5,1,5.736814138636958,46.72068654535706
14,3,3.33,1,2.537694409830374,40.42320450286738
14,4,4.83,1,4.177793787878385,43.63864623556381
14,5,5.83,0,3.823556722512733,43.48099540665537
14,6,6.67,1,6.269814530245494,47.519152888160306
14,7,7.67,0,4.128473667452796,36.06766111375142
14,8,8.83,1,4.083309613638604,45.827334303799454
14,12,12.33,1,3.6732967777212115,41.70820363600255
14,13,13.5,0,4.664275563342815,38.97513337146268
14,14,14.67,0,5.156816015074568,45.19023308870815
15,2,2.83,0,5.560199674159328,47.584361890317986
15,3,3.67,0,7.291049376255329,49.72304237059642
15,5,5.5,1,9.260543457893478,55.55347129061599
15,6,6.33,0,6.90418534384506,53.03930369259618
15,7,7.67,1,6.3925619182932305,51.351373463982455
15,8,8.5,1,8.159210618113006,53.341209279083984
15,9,9.5,0,8.162542853546949,51.24511619563669
15,10,10.5,1,5.732207348741582,47.77395382725513
15,11,11.33,0,9.508683949104315,49.50447284354547
15,12,12.33,0,7.667543921064189,49.137164094413
15,13,13.5,1,9.49565153227515,51.425973937416366
15,14,14.33,0,6.155113730568962,47.92852522663897
16,1,1.83,1,8.02921370491961,61.42350708145973
16,3,3.83,1,7.621278423895827,53.15999872747325
16,4,4.5,1,10.219441999388174,57.62471471619052
16,6,6.83,1,6.956765781961015,56.371808879955864
16,7,7.33,0,8.838536902369311,55.9922995713735
16,9,9.5,1,6.56408313381456,56.50737114009253
16,10,10.5,1,8.258765209981854,60.264544827333886
16,11,11.67,1,9.315162749519537,57.585804627558716
17,1,1.5,1,8.266326526818904,47.45424273258993
17,2,2.5,0,4.803206318723722,48.261564514445695
17,3,3.33,1,5.404677876427248,44.09153953486982
17,7,7.33,0,6.591802054974871,47.57482279197851
17,8,8.33,0,3.1647946592520775,43.45356152591868
17,9,9.5,1,3.9653807937480687,38.22091810040638
17,10,10.33,1,5.856231873342739,37.27141716431622
17,11,11.83,0,4.88252697502109,45.77129926968295
17,13,13.5,1,6.644787274658582,40.49540567407345
17,14,14.5,1,6.747540950961212,43.38381418026543
18,1,1.67,1,11.075157499654392,68.08899152034857
18,2,2.5,1,5.966414157691251,54.797572502958126
18,3,3.33,0,5.942514535475657,50.675835297638585
18,4,4.67,0,6.566038682340609,52.772353357419405
18,5,5.5,0,6.594368268239534,54.7562205426963
18,6,6.83,1,8.280029182982574,64.09025471569404
18,8,8.33,1,5.700645602905965,56.72259470419037
18,10,10.33,0,6.834817468989454,51.58533220855391
18,11,11.83,0,7.678107132059916,61.29199276837597
18,13,13.67,1,8.450317952246657,63.74345745135164
19,1,1.5,0,6.412219298823776,51.841777719756564
19,3,3.5,0,6.5657110236399605,50.05466018503294
19,4,4.33,1,8.504691436574463,55.89445372158778
19,5,5.83,0,5.7268845265753106,50.88392427581091
19,6,6.5,0,4.738871697825861,50.321590132579374
19,7,7.33,1,7.446632704547986,54.23364440106822
19,8,8.67,0,5.481326613547442,49.51509261131709
19,9,9.83,1,6.707971048210464,53.16763161736288
19,10,10.67,1,5.8359521772132315,53.29665263920827
19,12,12.33,0,6.7548001632801284,48.97028585559482
19,13,13.83,1,6.10401227575934,52.70860125984885
19,14,14.83,1,8.440385386569687,56.62742266679215
20,2,2.33,0,5.27766719136905,60.25997549195167
20,3,3.5,1,8.208728911636198,62.279259883531
20,4,4.83,1,7.501178726272605,58.15856214497392
20,5,5.67,0,4.921234168856309,52.483001250964975
