satisfaction,wait_time,visit_type,hospital,nurse_ratio,hospital_type
-0.3051814491977081,0.35091219813213614,Emergency,H01,-0.6830383035794565,Non-Teaching
0.1846138292014642,-0.5318705095948311,Emergency,H01,-0.6830383035794565,Non-Teaching
1.2809015489068984,-0.36259724920191966,Routine,H01,-0.6830383035794565,Non-Teaching
0.35863180624910673,-1.0486022883328836,Routine,H01,-0.6830383035794565,Non-Teaching
0.032381131324633716,-1.101867595062028,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.576582818760834,0.2747306128446778,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.6477758014824875,0.4195462291049908,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.6372439889980708,0.023973339332434666,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.06493573747145294,0.8940445481559524,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.769124675657835,2.022910055778399,Routine,H01,-0.6830383035794565,Non-Teaching
-0.07138285835219352,-0.5205677265237402,Routine,H01,-0.6830383035794565,Non-Teaching
0.781471958702623,-2.3403953689467727,Routine,H01,-0.6830383035794565,Non-Teaching
-0.6790845880092042,0.9775931898844483,Routine,H01,-0.6830383035794565,Non-Teaching
0.2702956171437848,-0.7389401085501917,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.222608934853728,-0.7177282646402899,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.7674433241373676,0.997444469463149,Routine,H01,-0.6830383035794565,Non-Teaching
0.6203888644315004,-0.3141178535273937,Routine,H01,-0.6830383035794565,Non-Teaching
0.6578947430431898,-1.2509325058665226,Routine,H01,-0.6830383035794565,Non-Teaching
-0.5629530179708722,0.1523918446605846,Routine,H01,-0.6830383035794565,Non-Teaching
-0.4764493884390301,-0.16810061402594342,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.0262740886837092,-0.023310610436368572,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.7175134278396156,0.35655835965103555,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.40585872888228075,-0.40008470902241006,Routine,H01,-0.6830383035794565,Non-Teaching
0.2834078556651174,0.6158953331842453,Routine,H01,-0.6830383035794565,Non-Teaching
-1.4310131237506396,-0.2497716549693493,Routine,H01,-0.6830383035794565,Non-Teaching
-0.5081466462018397,0.3030101964128366,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.1070896708356937,1.068778355164873,Routine,H01,-0.6830383035794565,Non-Teaching
0.764399083684027,0.4065058317033335,Routine,H01,-0.6830383035794565,Non-Teaching
-0.4581803275360666,-0.35531468831405283,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.5733204605849138,1.120795264537439,Routine,H01,-0.6830383035794565,Non-Teaching
-0.5292601357703433,0.9653471494359925,Routine,H01,-0.6830383035794565,Non-Teaching
-0.3252793189731127,0.5198265325266063,Routine,H01,-0.6830383035794565,Non-Teaching
-0.38017735297210176,0.20987347875986434,Emergency,H01,-0.6830383035794565,Non-Teaching
1.0404345483134065,-0.657569859765828,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.4485585143053872,1.3328370013375455,Routine,H01,-0.6830383035794565,Non-Teaching
-0.030347758362399058,-0.6298976738599805,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.4741307770946706,2.1602859334945994,Routine,H01,-0.6830383035794565,Non-Teaching
-1.1717099289404602,1.5049550116444455,Emergency,H01,-0.6830383035794565,Non-Teaching
0.41289304522201825,-0.2649995932567282,Routine,H01,-0.6830383035794565,Non-Teaching
0.8560204451687287,-1.0564550978279188,Emergency,H01,-0.6830383035794565,Non-Teaching
0.4312001397649718,-0.7401470304418871,Routine,H01,-0.6830383035794565,Non-Teaching
0.1410126031115568,0.22804232480362766,Routine,H01,-0.6830383035794565,Non-Teaching
-0.12080743198316661,-0.2760013290777081,Routine,H01,-0.6830383035794565,Non-Teaching
0.17733827512803615,-0.376945789306974,Routine,H01,-0.6830383035794565,Non-Teaching
0.10325809640835001,-0.9815832370939682,Emergency,H01,-0.6830383035794565,Non-Teaching
-0.4636735035981744,-0.07414973149530353,Routine,H01,-0.6830383035794565,Non-Teaching
1.574446534848992,-0.8147141809310676,Routine,H01,-0.6830383035794565,Non-Teaching
0.6241405677513373,-1.6985724186812572,Routine,H01,-0.6830383035794565,Non-Teaching
-0.08272671328732938,-0.40966008943116144,Routine,H01,-0.6830383035794565,Non-Teaching
-0.344886272355286,0.890770649120775,Emergency,H01,-0.6830383035794565,Non-Teaching
-1.209685843413066,-0.6049618933952199,Routine,H02,-0.3105410647829779,Teaching
-1.1077044376729626,0.5794492622500635,Emergency,H02,-0.3105410647829779,Teaching
-1.390273633504544,-1.6484666610499137,Routine,H02,-0.3105410647829779,Teaching
-1.286146315892859,-0.0846937636360842,Routine,H02,-0.3105410647829779,Teaching
-1.514973397116008,0.4908098314013527,Routine,H02,-0.3105410647829779,Teaching
-2.3095526040892733,0.27235312581926224,Emergency,H02,-0.3105410647829779,Teaching
-1.4811165646224194,0.07669426458665993,Routine,H02,-0.3105410647829779,Teaching
-1.5705826363377429,-0.6703816893846881,Routine,H02,-0.3105410647829779,Teaching
-0.6535105556361251,-0.8795742880604066,Routine,H02,-0.3105410647829779,Teaching
-1.2978249876970658,-1.0541608576430659,Routine,H02,-0.3105410647829779,Teaching
-1.762705233479521,0.08867579385513609,Emergency,H02,-0.3105410647829779,Teaching
-2.032349319894515,-0.9774354322689965,Emergency,H02,-0.3105410647829779,Teaching
-1.4936830629062585,-0.5200935638497601,Emergency,H02,-0.3105410647829779,Teaching
-2.5985692446985893,-0.2854103802699323,Emergency,H02,-0.3105410647829779,Teaching
-3.299487131768905,1.8164956943695,Routine,H02,-0.3105410647829779,Teaching
-0.08637223569782242,-0.681636033811881,Routine,H02,-0.3105410647829779,Teaching
-0.8812043378357571,0.20652520665256838,Routine,H02,-0.3105410647829779,Teaching
-0.9283154248517257,0.04895315898744855,Routine,H02,-0.3105410647829779,Teaching
-2.445097835307725,-0.9918308200949103,Routine,H02,-0.3105410647829779,Teaching
-1.288929054260173,-0.10045452002765963,Emergency,H02,-0.3105410647829779,Teaching
-1.208493613180684,1.4168133935956166,Routine,H02,-0.3105410647829779,Teaching
-1.8117404712764307,0.422843565535477,Emergency,H02,-0.3105410647829779,Teaching
-0.8113150625772996,0.012191093336501438,Routine,H02,-0.3105410647829779,Teaching
-0.9749116576044113,-0.4519696911298225,Emergency,H02,-0.3105410647829779,Teaching
-1.0387234752299683,-2.084235839351604,Routine,H02,-0.3105410647829779,Teaching
-0.32616113130825647,1.1033086210104313,Routine,H02,-0.3105410647829779,Teaching
-0.8904166760050461,-1.4910778689168025,Emergency,H02,-0.3105410647829779,Teaching
-1.0953791940089215,0.7115551273770296,Emergency,H02,-0.3105410647829779,Teaching
-2.17775788219096,1.8817978994496993,Emergency,H02,-0.3105410647829779,Teaching
-1.547601028033905,-1.4743153929519601,Emergency,H02,-0.3105410647829779,Teaching
-1.9361169114401509,0.6733564797519297,Routine,H02,-0.3105410647829779,Teaching
-1.0082402416773755,-0.29152135226005155,Routine,H02,-0.3105410647829779,Teaching
-1.2965738384856185,-1.6026855985829682,Emergency,H02,-0.3105410647829779,Teaching
-1.4065274059776784,-1.5451556696345612,Emergency,H02,-0.3105410647829779,Teaching
-1.844367807137868,-1.6321049324665462,Emergency,H02,-0.3105410647829779,Teaching
-1.748858409178906,-0.5604801462072245,Emergency,H02,-0.3105410647829779,Teaching
0.10123581575418204,-1.4921944198421575,Routine,H02,-0.3105410647829779,Teaching
-2.346469025881953,0.6594760276533456,Emergency,H02,-0.3105410647829779,Teaching
-2.260719159488229,2.072980807502025,Emergency,H02,-0.3105410647829779,Teaching
-1.9073110153882857,-1.317306906406885,Routine,H02,-0.3105410647829779,Teaching
-2.135534889856554,0.759390885334542,Routine,H02,-0.3105410647829779,Teaching
-1.9834984105278244,0.7406769006335929,Emergency,H02,-0.3105410647829779,Teaching
-1.5678613514939,0.3034312024028794,Routine,H02,-0.3105410647829779,Teaching
